duration_ms,tempo,key,loudness,energy,danceability,speechiness,acousticness,instrumentalness,liveness,valence,file_name,exito
188244.1723356009,123.046875,3,0.25866944,1870.3109242553671,0.1570420279800975,-97.516235,0.018722532,0.9362314804822398,2201.852632365858,3860.4813141486416,Micha el D. - Casualidad _ Prod. By Dime Zirmi (Video Oficial) [80u7QCaYE68].mp3,0
219869.75056689343,117.45383522727273,2,0.2346696,2494.913485650619,0.22068217729274356,-55.250107,0.034110807,0.9033420196178722,2662.5545558532235,5626.497504970466,Cali Y El Dandee - 19 de Abril.mp3,0
397920.3628117914,89.10290948275862,5,0.23983522,2712.976344270431,0.16109267181742665,-107.73447,0.021705406,0.902171065167683,2835.965912259946,6273.3258132854435,Shishi (Remix).mp3,0
167189.34240362814,184.5703125,9,0.2742817,2358.8495463665827,0.11644082643540317,-82.00169,0.026020179,0.9164891242318776,2517.7769305232605,5014.144350339797,"Lenny Tavárez, Ryan Castro - Ojos Chinos (Official Visualizer).mp3",0
248732.15419501133,112.34714673913044,8,0.24522457,1944.8154899306282,0.1717753310267424,-99.72893,0.03436448,0.928516135477924,2134.7336176733957,4144.267248593269,Diamante Eléctrico - El Big Bang (Con Silvestre Y La Naranja) [Video Oficial] [3h-Fr-QxKxk].mp3,0
169853.96825396825,123.046875,0,0.2231518,1586.774553065051,0.13972445799592215,-94.74518,0.0073653026,0.9391955693215214,1908.6061654354003,3221.959968679521,Micha el D. - No Te Vayas (Video Oficial).mp3,0
188429.9319727891,117.45383522727273,10,0.27309677,1914.0532733480632,0.16656495096206467,-85.52013,0.02649159,0.9177241280726343,2157.5043858243453,3662.8785082129434,Micha el D. - La Seis _ Prod. By_ Dime Zirmi (Video Oficial) [VCP9aNsqLJ0].mp3,0
176936.05442176873,89.10290948275862,0,0.21381108,2525.57059451062,0.1764560583818597,-47.808357,0.031127032,0.8898528864527293,2590.5624676770153,5374.606690446218,Dave Bolano  -  Para Ti (Video Clip Oficial).mp3,0
140480.72562358278,123.046875,0,0.14179309,2767.2023250631123,0.12792794608244892,-142.60945,0.034864604,0.8926396947560321,2699.717160346682,6106.360547165499,pantera rosa.mp3,0
189544.48979591837,117.45383522727273,7,0.21903922,2218.5186576170113,0.1094591574113896,-137.63118,0.018763047,0.9212057963123162,2468.928681220175,4850.906576916378,"EMIL, Natan & Shander - Te Prefiero.mp3",0
241859.04761904763,123.046875,2,0.08043228,2091.0686296014237,0.17557151590267114,-227.14941,0.05917736,0.9137943835797254,2354.9785457874364,4451.286408053692,Flor de Lava - La Cumbia del Viento (Sesión Acústica).mp3,0
195628.1179138322,99.38401442307692,5,0.22812256,2906.685920308861,0.15819564908540518,-69.55295,0.032163125,0.8796409898491278,2973.322868775597,6831.450858253101,Big Soto x Pirlo - CULITO OFICIAL - SOTORIUS (Visualizer).mp3,0
173847.80045351473,123.046875,11,0.2376279,2614.973138354832,0.16538096681992737,-107.85455,0.021826006,0.9094739082532052,2734.970950477896,5726.108052180363,KRIS R X NTG X  EL HIGH - X7.mp3,0
310032.8344671202,112.34714673913044,3,0.37106276,2461.2555760442506,0.17460954401719245,-51.91765,0.014993245,0.9239066712536509,2710.754818237663,5633.964327056069,Remers x Kris R X Totoy El Frio x Juanka - KITH (Remix) (Official Video).mp3,0
204544.5804988662,117.45383522727273,3,0.11034393,1802.471689783136,0.13989790228512478,-218.69214,0.025968626,0.9479192346232974,2259.0694844669497,4184.46719426167,"MAGNA, Francely Abreuu - SAL (Official).mp3",0
196556.91609977325,129.19921875,10,0.25820512,2666.3437039415285,0.14124288203769889,-84.27199,0.025107758,0.9066776065659697,2909.6567432875986,6358.900370553907,JUAN DUQUE ft. TORY TELER- Perdidos en Milán  Visualizer.mp3,0
180697.68707482994,95.703125,3,0.16924535,2365.0632124821504,0.10491146175216837,-122.14176,0.023300715,0.9159105407016895,2582.41383673611,5319.892234954187,"SOG, Nio Garcia - Te Conviene (Visualizer).mp3",0
200527.52834467118,161.4990234375,6,0.22105646,1997.7756775824848,0.14015465914531114,-121.84885,0.0687698,0.9278655896325403,2225.128374661787,4280.189713971323,Juliana ft @EstebanRojas06  - Maldito Reggaeton (Videoclip Oficial).mp3,0
212555.46485260772,89.10290948275862,10,0.22190407,2967.6422649702963,0.17982622457848932,-60.544067,0.032547355,0.8795547493685145,2793.21890000802,6291.103462290073,Los Pibes Chorros & Tato Marenco - La Colombiana (Video Clip Oficial).mp3,0
195628.1179138322,123.046875,6,0.31296885,2613.2290515625095,0.150397924191602,-31.047775,0.029957443,0.8966836048762759,2790.957233014203,5960.478025373472,Ela Taubert - Es En Serio_ (Official Video).mp3,0
233917.82312925172,89.10290948275862,6,0.26676625,3452.164679781847,0.15275149022030504,-67.82745,0.03883401,0.849173580955335,3059.929454666521,7122.192959541719,MÚSICA - PIRLO  KEVIN ROLDAN (VIDEO OFICIAL).mp3,0
126837.55102040815,107.666015625,8,0.20897673,2260.151080051604,0.14657225814382982,-112.98805,0.016411476,0.9142690564650833,2554.69785388716,4957.4691747322895,PIENSO.mp3,0
159079.90929705216,117.45383522727273,11,0.2811318,2484.7156233093865,0.15369086785134714,-73.7758,0.023207454,0.9005109137842966,2534.778348507609,5252.726668108992,Un Hombre Fiel.mp3,0
154528.79818594104,172.265625,4,0.2872267,2454.673254457697,0.12699049560117756,-64.29294,0.021083655,0.9212375053992639,2713.484084148332,5718.317435337947,OLVIDATE DE EL.mp3,0
